car_name,year,price,assemble_place,series,driven kms,num_of_seat,engine_type,transmission
 VinFast Lux SA 2.0 Premium 2.0 AT,2021,41412.0,Locally assembled,SUV,23000,7,Petrol,Automatic
 Nissan X trail AT,2017,23191.0,Locally assembled,SUV,55000,7,Petrol,Automatic
 Lexus RX 350,2015,66614.0,Imported,SUV,75000,5,Petrol,Automatic
 Kia Seltos Luxury 1.4 AT,2020,25951.0,Locally assembled,Crossover,24567,5,Petrol,Automatic
 Kia Optima 2.0 AT,2014,18931.0,Imported,Sedan,64000,5,Petrol,Automatic
 Mitsubishi Xpander 1.5 AT,2023,22284.0,Imported,SUV,9500,7,Petrol,Automatic
 Ford Everest 2.5L 4x2 MT,2009,13015.0,Locally assembled,SUV,136000,8,Diesel,Manual
 Hyundai Kona 2.0 AT,2020,19286.0,Locally assembled,Crossover,52000,5,Petrol,Automatic
 Mitsubishi Xpander 1.5 AT,2020,21889.0,Imported,SUV,49000,7,Petrol,Automatic
 Mercedes Benz E class E200,2018,45711.0,Locally assembled,Sedan,38000,5,Petrol,Automatic
 Mercedes Benz GLS 500,2014,56991.0,Imported,SUV,110000,7,Petrol,Automatic
 Hyundai SantaFe MLX 2.0L,2009,19128.0,Imported,SUV,85000,5,Diesel,Automatic
 Mitsubishi Triton 4x2 AT Mivec,2017,19128.0,Imported,Bán tải / Pickup,88000,5,Diesel,Automatic
 Mercedes Benz C class C63 AMG,2008,49300.0,Imported,Sedan,38000,5,Petrol,Automatic
 Mercedes Benz GLC 300 4Matic,2022,74857.0,Locally assembled,SUV,19000,5,Petrol,Automatic
 Mercedes Benz GL GL 500 4Matic,2014,57188.0,Imported,SUV,12000,7,Petrol,Automatic
 Kia Seltos Premium 1.4 AT,2020,24453.0,Locally assembled,Crossover,28000,5,Petrol,Automatic
 Ford Ranger XLS 2.2L 4x2 MT,2018,18537.0,Imported,Bán tải / Pickup,100000,5,Diesel,Manual
 Toyota Camry GLi 2.2,2000,5837.0,Imported,Sedan,100000,5,Petrol,Manual
 Ford Ranger Wildtrak 2.0L 4x4 AT,2019,27016.0,Imported,Bán tải / Pickup,55000,5,Diesel,Automatic
 Ford EcoSport Titanium 1.5L AT,2016,15184.0,Locally assembled,SUV,73000,5,Petrol,Automatic
 Hyundai Accent 1.4 AT,2019,17945.0,Locally assembled,Sedan,50000,5,Petrol,Automatic
 Toyota Zace Surf,2005,10846.0,Locally assembled,SUV,110000,8,Petrol,Manual
 Ford Ranger XLS 2.2L 4x2 AT,2016,18142.0,Imported,Bán tải / Pickup,110000,5,Diesel,Automatic
 Porsche Cayenne S,2011,46934.0,Imported,SUV,72000,5,Petrol,Automatic
 Mercedes Benz C class C300 AMG,2011,19326.0,Locally assembled,Sedan,75000,5,Petrol,Automatic
 Lexus RX 350,2017,104516.0,Imported,SUV,41000,5,Petrol,Automatic
 Hyundai SantaFe Tiêu chuẩn 2.5L,2022,0.0,Locally assembled,SUV,25000,7,Petrol,Automatic
 Honda CRV L,2019,32735.0,Imported,SUV,55000,7,Petrol,Automatic
 Toyota Camry 2.5Q,2019,36206.0,Imported,Sedan,20000,5,Petrol,Automatic
 Mazda 3 1.6 AT,2010,12226.0,Imported,Hatchback,40000,5,Petrol,Automatic
 BMW Z4 sDrive35i,2010,39401.0,Imported,Convertible/Cabriolet,43000,2,Petrol,Automatic
 Mercedes Benz E class E300 AMG,2022,108026.0,Locally assembled,Sedan,2900,5,Petrol,Automatic
 Kia Carens S SX 2.0 AT,2014,14198.0,Locally assembled,Crossover,57402,7,Petrol,Automatic
 Toyota Innova 2.0E,2020,24058.0,Locally assembled,Crossover,50000,8,Petrol,Manual
 Mercedes Benz GL GL 350 CDI 4Matic,2015,62670.0,Imported,SUV,70000,7,Diesel,Automatic
 Mazda 3 1.5L Premium,2020,24650.0,Locally assembled,Sedan,15000,5,Petrol,Automatic
 Kia Sorento GATH,2015,21889.0,Locally assembled,SUV,58692,7,Petrol,Automatic
 Ford Ranger XLS 2.2L 4x2 MT,2017,17709.0,Imported,Bán tải / Pickup,81000,5,Diesel,Manual
 Mazda CX5 2.5 AT 2WD,2019,28791.0,Locally assembled,SUV,54000,5,Petrol,Automatic
 Toyota Innova 2.0E,2018,21495.0,Locally assembled,Crossover,83000,8,Petrol,Manual
 Mercedes Benz GLC 250 4Matic,2016,41609.0,Locally assembled,SUV,80000,5,Petrol,Automatic
 Volvo XC60 T6 AWD Inscription,2019,77618.0,Imported,SUV,32000,5,Petrol,Automatic
 Mazda 3 2.0L Signature Luxury,2020,24650.0,Locally assembled,Sedan,40000,5,Petrol,Automatic
 Kia K3 Premium 2.0 AT,2022,26228.0,Locally assembled,Sedan,16000,5,Petrol,Automatic
 Hyundai i20 Active 1.4 AT,2017,16368.0,Imported,Crossover,63000,5,Petrol,Automatic
 Mitsubishi Xpander 1.5 AT,2021,23072.0,Imported,SUV,20000,7,Petrol,Automatic
 BMW 3 Series 320i,2013,18892.0,Imported,Sedan,42000,5,Petrol,Automatic
 Kia Soluto 1.4 MT Deluxe,2022,15579.0,Locally assembled,Sedan,23000,5,Petrol,Manual
 Ford Everest Titanium 2.0L 4x4 AT,2019,39243.0,Imported,SUV,16000,7,Diesel,Automatic
 Toyota Prado TXL 2.7L,2015,48117.0,Imported,SUV,100000,7,Petrol,Automatic
 Toyota Prado VX 2.7L,2018,74896.0,Imported,SUV,55000,7,Petrol,Automatic
 Hyundai Tucson 2.0 ATH,2016,23625.0,Imported,Crossover,67000,5,Petrol,Automatic
 Audi TT 2.0 TFSI,2017,65786.0,Imported,Coupe,30000,4,Petrol,Automatic
 VinFast Fadil 1.4 AT,2021,13015.0,Locally assembled,Hatchback,20000,5,Petrol,Automatic
 Mazda CX5 2.0 AT AWD,2014,17275.0,Locally assembled,SUV,115000,5,Petrol,Automatic
 Ford Transit Limousine,2017,23664.0,Locally assembled,Van/Minivan,140000,10,Diesel,Manual
 Chevrolet Cruze LT 1.6L,2017,10964.0,Locally assembled,Sedan,80000,5,Petrol,Manual
 Ford Ranger Wildtrak 3.2L 4x4 AT,2017,25044.0,Imported,Bán tải / Pickup,65000,5,Diesel,Automatic
 Mazda 3 1.5 AT,2016,17038.0,Locally assembled,Sedan,90000,5,Petrol,Automatic
 Kia Cerato 1.6 AT Luxury,2019,19247.0,Locally assembled,Sedan,46000,5,Petrol,Automatic
 Ford Territory Titanium X 1.5 AT,2023,35496.0,Locally assembled,SUV,9000,5,Petrol,Automatic
 Ford Everest Ambiente 2.0 4x2 AT,2019,32972.0,Imported,SUV,50000,7,Diesel,Automatic
 Mercedes Benz E class E200 Sport,2019,54743.0,Locally assembled,Sedan,19000,5,Petrol,Automatic
 Kia Morning tiêu chuẩn,2018,8677.0,Locally assembled,Hatchback,46666,5,Petrol,Manual
 Lexus ES 350,2008,20903.0,Imported,Sedan,52000,5,Petrol,Automatic
 Bentley Continental GT,2007,93078.0,Imported,Coupe,88700,4,Petrol,Automatic
 Mercedes Benz GLC 200,2022,61724.0,Locally assembled,SUV,14500,5,Petrol,Automatic
 Peugeot 2008 GT Line 1.2 AT,2022,31355.0,Locally assembled,Crossover,20379,5,Petrol,Automatic
 Ford Everest Titanium 2.0L 4x4 AT,2019,38257.0,Imported,SUV,85000,7,Diesel,Automatic
 Toyota Innova 2.0E,2017,19247.0,Locally assembled,Crossover,80000,8,Petrol,Manual
 Mercedes Benz GLC 200,2021,55137.0,Locally assembled,SUV,29000,5,Petrol,Automatic
 Kia Morning 1.0 MT,2005,3550.0,Imported,Hatchback,1300000,5,Petrol,Manual
 Hyundai Kona 2.0 AT,2019,17314.0,Locally assembled,Crossover,65000,5,Petrol,Automatic
 Kia Rondo GAT Deluxe,2020,21100.0,Locally assembled,SUV,37000,7,Petrol,Automatic
 Mercedes Benz C class C200,2012,18931.0,Locally assembled,Sedan,68000,5,Petrol,Automatic
 Toyota Fortuner 2.7V 4x4 AT,2017,28397.0,Imported,SUV,72000,8,Petrol,Automatic
 Kia Sorento Signature 2.2 AT AWD,2022,45317.0,Locally assembled,SUV,5000,7,Diesel,Automatic
 Ford EcoSport Titanium 1.5L AT,2015,14396.0,Locally assembled,SUV,75000,5,Petrol,Automatic
 Mercedes Benz GLC 250 4Matic,2017,42950.0,Locally assembled,SUV,82000,5,Petrol,Automatic
 Kia Rondo GAT Deluxe,2022,24453.0,Locally assembled,SUV,16000,7,Petrol,Automatic
 BMW 3 Series 320i,2016,27214.0,Imported,Sedan,48270,5,Petrol,Automatic
